

#ID = Rosetta generated unique probe identifier
#EntrezGeneID = Entrez Gene identifier for the gene represented
#ORF = Gene symbol for the gene represented
#GB_ACC = GenBank Accession
#PROBE_DERIVED_FROM_TRANSCRIPT = Actual transcript sequence from which the probe was derieved
#SPOT_ID = 
#RosettaGeneModelID = Rosetta internal gene identifier.
ID	EntrezGeneID	ORF	GB_ACC	PROBE_DERIVED_FROM_TRANSCRIPT	SPOT_ID	RosettaGeneModelID
10023818929	55116	TMEM39B	NM_018056	NM_018056		HSG00204362
10025902226	8795	TNFRSF10B	NM_147187	NM_147187		HSG00259319
10025906051	90550	C10orf42	NM_138357	NM_138357		HSG00267680
10025923310	407835		BC067760	non-public		HSG00245754
10025909334	146279		NM_144674	NM_144674		HSG00296341
10023833314			AF147344	AF147344		HSG00234702
10025917389			U83111	non-public		HSG00295844
10025933035	374860	ANKRD30B	AF269088	AF269088		HSG00304233
10023819135	4986	OPRK1	NM_000912	NM_000912		HSG00258482
10023848422	124935	SLC43A2	D17093	D17093		HSG00302463
10025923355	389432	RP5-875H10.1	XM_371851	non-public		HSG00241948
10025909894	124152		NM_153208	NM_153208		HSG00295375
10025917888			AL134802	non-public		HSG00395816
10025919098			AL360200	AL360200		HSG00292641
10025905338	64601	VPS16	NM_080413	NM_080413		HSG00311693
10023817961	9454	HOMER3	NM_004838	NM_004838		HSG00306503
10025934605			AW858510	non-public		HSG00427054
10025922172			CR606685	non-public		HSG00244387
10025925972			AA481553	non-public		HSG00357076
10025916890			AA412020	non-public		HSG00353291
10023811577	8804	CREG1	NM_003851	NM_003851		HSG00203150
10023813243	553137		AJ420564	non-public		HSG00355390
10023823563	3145	HMBS	NM_000190	NM_000190		HSG00273752
10025902773			NM_018562	NM_018562		HSG00252147
10023830525	85291	KRTAP4-2	NM_033062	NM_033062		HSG00297655
10023832643	391253	SPINT4		non-public	ENSEMBLE: ENST00000279058	HSG00311448
10025931924			BC019026	BC019026		HSG00277871
10023806272	64417		XM_379332	non-public		HSG00237935
10025907438	50488	MINK1	NM_015716	NM_015716		HSG00301667
10023809356	286191		AK130878	non-public		HSG00260265
10033668793	5469	PPARBP	NM_004774	NM_004774		HSG00301582
10025913077	255928	SYT14	NM_153262	NM_153262		HSG00208140
10023811071			AJ420560	non-public		HSG00416081
10025908760	25825	BACE2	NM_138991	NM_138991		HSG00315757
10023830381				non-public	ENSEMBLE: ENST00000274652	HSG00238678
10025909769	2146	EZH2	NM_152998	NM_152998		HSG00249596
10025902234	6654	SOS1	NM_005633	NM_005633		HSG00211885
10023826975	642987		NM_001039763	non-public		HSG00351137
10023809680	274	BIN1	NM_004305	NM_004305		HSG00214910
10025918826			AL050043	AL050043		HSG00260223
10025917106			AY090769	AY090769		HSG00241403
10025907210	1486	CTBS	NM_004388	NM_004388		HSG00204932
10025910730	1855	DVL1	NM_181870	NM_181870		HSG00202427
10025905603	56134	PCDHAC2	NM_018899	NM_018899		HSG00238292
10025907294	64924	SLC30A5	NM_024055	NM_024055		HSG00237248
10025918598			XM_101859	XM_101859		HSG00363803
10023806178	53981	CPSF2	AK001627	AK001627		HSG00287347
10033668966	90499		AL137712	AL137712		HSG00216752
10023816443	285535		AX746755	non-public		HSG00229274
10031920719	117065	PRRXL1	XM_060970	non-public		HSG00270543
10023831998	26024	PTCD1	NM_015545	NM_015545		HSG00249117
10025917072			AW401979	non-public		HSG00404700
10025904820	89796	NAV1	NM_020443	NM_020443		HSG00201118
10025907546			NM_173709	NM_173709		HSG00420457
10025921421			G65557	non-public		HSG00300810
10025922847				non-public	RosettaGeneID: HSG00363987	HSG00363987
10025911705	23256	SCFD1	NM_182835	NM_182835		HSG00288119
10023804663			AA128999	non-public		HSG00213806
10023839857	54843	SYTL2	NM_032943	NM_032943		HSG00272351
10025902575	2033	EP300	NM_001429	NM_001429		HSG00314067
10031920041	404281	YY2	NM_206923	NM_206923		HSG00255108
10025913165	81491	GPR63	NM_030784	NM_030784		HSG00242404
10023816137	56954	NIT2	NM_020202	NM_020202		HSG00219651
10025920589			BC034289	BC034289		HSG00284673
10025914999			BC035261	BC035261		HSG00282479
10033668760	26503	SLC17A5	NM_012434	NM_012434		HSG00243626
10025930009			XM_171093	XM_171093		HSG00386576
10025924201			AK092072	AK092072		HSG00264198
10023825492	6352	CCL5	NM_002985	NM_002985		HSG00302639
10025924278			BE697704	non-public		HSG00364931
10025904421	128653	C20orf141	NM_080739	NM_080739		HSG00311191
10025909507	1007	CDH9	NM_016279	NM_016279		HSG00237829
10023823241	55889		NM_018652	NM_018652		HSG00290572
10023847133	83590	C7orf21	NM_031434	NM_031434		HSG00251337
10025904204	51157	ZNF580	NM_016202	NM_016202		HSG00307090
10023807701	6711	SPTBN1	NM_003128	NM_003128		HSG00214296
10023839315	79669	C3orf52	NM_024616	NM_024616		HSG00220871
10023807672	54828	BCAS3	NM_017679	NM_017679		HSG00302316
10023828426	7087	ICAM5	NM_003259	NM_003259		HSG00306333
10025915973	401937		XM_377558	non-public		HSG00209671
10023819599			AI335831	non-public		HSG00407803
10025917627			BE155622	non-public		HSG00219271
10025918871			AK054752	AK054752		HSG00289028
10025925186			XM_120438	XM_120438		HSG00224379
10025905893	4921	DDR2	NM_006182	NM_006182		HSG00207504
10025928574			AI025811	non-public		HSG00294461
10025924343			AF085982	AF085982		HSG00291042
10023818145	23658	LSM5	NM_012322	NM_012322		HSG00251847
10023837954			AL137414	AL137414		HSG00362324
10025921335	441920		XM_497731	non-public		HSG00357529
10023810638	401067	IQCF3	XM_376233	non-public		HSG00224787
10025908216	566	AZU1	NM_001700	NM_001700		HSG00307446
10033668845	2953	GSTT2	NM_000854	NM_000854		HSG00314660
10025907617	1104	RCC1	NM_001269	NM_001269		HSG00209808
10025905851	24138	IFIT5	NM_012420	NM_012420		HSG00269214
10025927073	414319	C9orf107	BC038565	BC038565		HSG00263255
10025912180	91807		NM_182493	NM_182493		HSG00295164
10023825164			AK021714	non-public		HSG00233457
10025905368	8678	BECN1	NM_003766	NM_003766		HSG00298197
10025935517			AA744661	non-public		HSG00231477
10025910093	8427	ZNF282	NM_003575	NM_003575		HSG00248617
10023819690	7086	TKT	NM_001064	NM_001064		HSG00221299
10025906792	10317	B3GALT5	NM_006057	NM_006057		HSG00315770
10023826663	5826	ABCD4	NM_005050	NM_005050		HSG00287792
10025930088			AK021468	AK021468		HSG00245691
10031920126	388159	FAM42B	XM_370893	non-public		HSG00396171
10023810445	8618	CADPS	NM_003716	NM_003716		HSG00225288
10025927034	255812	SDHAL2	XM_171032	non-public		HSG00357850
10023824623	10457	GPNMB	NM_002510	NM_002510		HSG00249597
10026392648	4856	NOV	NM_002514	NM_002514		HSG00257816
10025908992	85285	KRTAP4-10	NM_033060	NM_033060		HSG00297666
10025934338	5071	PARK2	NM_013987	non-public		HSG00244060
10023831933			AK056973	AK056973		HSG00293412
10025922386			XM_062520	XM_062520		HSG00362721
10025907797	84179	MFSD7	NM_032219	NM_032219		HSG00229500
10025916313			BQ356401	non-public		HSG00272863
10025905216	83989	C5orf21	NM_032042	NM_032042		HSG00237206
10025919909				non-public	RosettaGeneID: HSG00367345	HSG00367345
10025903086	54937	SOHLH2	NM_017826	NM_017826		HSG00284873
10023836954	137886			non-public	ENSEMBLE: ENST00000301644	HSG00259176
10023833169				non-public	ENSEMBLE: ENST00000276807	HSG00312992
10025909940	255313	RP6-166C19.1	NM_173571	NM_173571		HSG00254937
10023818424	8992	ATP6V0E	NM_003945	non-public		HSG00237474
10023811970	1123	CHN1	NM_001822	NM_001822		HSG00214884
10023828308			AK056744	AK056744		HSG00291623
10025930644			AK124173	non-public		HSG00352016
10025929084				non-public	RosettaGeneID: HSG00386435	HSG00386435
10023839163	83937	RASSF4	NM_032023	NM_032023		HSG00268025
10025922912	286297		AK097152	AK097152		HSG00261303
10025906016	165721	DNAJB8	NM_153330	NM_153330		HSG00220723
10025909367	670	BPHL	NM_004332	NM_004332		HSG00243006
10025935450			AK126168	non-public		HSG00240059
10025906628	5000	ORC4L	NM_181741	NM_181741		HSG00213136
10023812983			G36446	non-public		HSG00241722
10023827570	7424	VEGFC	NM_005429	NM_005429		HSG00229027
10025920746				non-public	ENSEMBLE: ENST00000313836	HSG00363273
10025903174	2815	GP9	NM_000174	NM_000174		HSG00219976
10023821505	55216	C11orf57	NM_018195	NM_018195		HSG00271117
10023806150	149998	LIPI	XM_371408	non-public		HSG00315828
10025905694	23291	FBXW11	NM_033644	NM_033644		HSG00237202
10031920240	402275		XM_377943	XM_377943		HSG00248602
10025930259			AA861029	non-public		HSG00292452
10025910245	7082	TJP1	NM_175610	NM_175610		HSG00289790
10023814203	6876	TAGLN	NM_003186	NM_003186		HSG00274668
10023848269	84067	C11orf56	NM_032127	NM_032127		HSG00271412
10031919701			AW887193	non-public		HSG00358100
10025907016	9813	KIAA0494	NM_014774	NM_014774		HSG00209363
10023821744	2921	CXCL3	NM_002090	NM_002090		HSG00227259
10025926857			AI560073	non-public		HSG00236361
10025915481	285194		BC035185	BC035185		HSG00223338
10023815751			AF085962	non-public		HSG00275818
10023819040			BC040052	non-public		HSG00405646
10023840236	79776	ZFHX4	NM_024721	NM_024721		HSG00258886
10023817908			AA251852	non-public		HSG00310799
10031920007	1564	CYP2D7P1	NM_001002910	NM_001002910		HSG00314727
10025914691			AI305747	non-public		HSG00265984
10025930544	390327	OR6C70	NM_001005499	non-public		HSG00281210
10025902164	147	ADRA1B	NM_000679	NM_000679		HSG00236839
10025909557	6872	TAF1	NM_004606	NM_004606		HSG00255046
10023819972	23527	CENTB2	NM_012287	non-public		HSG00224847
10025909947	9406	ZNF265	NM_005455	NM_005455		HSG00208191
10025933608			BX096636	non-public		HSG00254127
10025928630			BC035780	BC035780		HSG00308901
10025922805	389416	BDH2P1	XM_371837	non-public		HSG00238998
10025907583	283848		NM_173815	NM_173815		HSG00295958
10023823260	5128	PCTK2	NM_002595	non-public		HSG00277267
10025923948			BC031963	BC031963		HSG00279525
10025918837			AA995738	non-public		HSG00293717
10023817104			AA310373	non-public		HSG00356047
10025912979	80339	ADPN	NM_025225	NM_025225		HSG00314281
10025920973			R09356	non-public		HSG00257474
10025920959			BC007100	BC007100		HSG00245763
10025902393	57687		NM_020927	NM_020927		HSG00294725
10025929156			XM_070794	XM_070794		HSG00363617
10025905986	7182	NR2C2	NM_003298	NM_003298		HSG00220806
10031919857	79847	C10orf77	NM_024789	NM_024789		HSG00267709
10023833554				non-public	ENSEMBLE: ENST00000274109	HSG00230762
10023816859	145225	C14orf83	AK074690	non-public		HSG00288910
10023827116	4116	MAGOH	NM_002370	NM_002370		HSG00208019
10025922484			XM_067069	XM_067069		HSG00313140
10023829462			U84522	U84522		HSG00314963
10023842309	79717	PPCS	NM_024664	NM_024664		HSG00205740
10025912584	54509	RHOF	NM_019034	NM_019034		HSG00282078
10025917414	389087		XM_374028	non-public		HSG00419495
10025926801			AB002441	AB002441		HSG00234675
10023846181	60509		NM_021831	NM_021831		HSG00212582
10023815553	10620	ARID3B	NM_006465	NM_006465		HSG00290189
10025911440	147872		NM_144688	NM_144688		HSG00307954
10025932104	130865		XM_497840	non-public		HSG00218211
10025907620	23559	WBP1	NM_012477	NM_012477		HSG00213395
10025932286			BE743844	non-public		HSG00383439
10025932038			BG621793	non-public		HSG00217519
10025913843	391088		XM_372789	non-public		HSG00396659
10025911162	27434	POLM	NM_013284	NM_013284		HSG00249611
10025902654	2319	FLOT2	NM_004475	NM_004475		HSG00297738
10025916617			AK097679	AK097679		HSG00293301
10023851197	85440	DOCK7	AB051558	AB051558		HSG00204605
10025914851			CB045892	non-public		HSG00304475
10023826769	50640		AF263613	AF263613		HSG00245414
10023822369			AK124299	non-public		HSG00354924
10025912717	148398	SAMD11	NM_152486	NM_152486		HSG00317488
10025924050	389457		BC038729	BC038729		HSG00251354
10025919378			AV732341	non-public		HSG00245596
10025910412	55741	EDEM2	NM_018217	NM_018217		HSG00312067
10023810496	23254		AB028949	AB028949		HSG00351698
10025922163			AK092571	AK092571		HSG00279241
10025916717			AA888417	non-public		HSG00358735
10025934709			BG621937	non-public		HSG00221212
10025915469			BF364063	non-public		HSG00301534
10023813320			BC047589	non-public		HSG00218480
10023847577	340277			non-public	ENSEMBLE: ENST00000297068	HSG00251380
10025933933			XM_166748	XM_166748		HSG00273636
10025910442	6404	SELPLG	NM_003006	NM_003006		HSG00276656
10025919896			XM_166252	XM_166252		HSG00270777
10025916642	388456		BC039671	BC039671		HSG00304506
10025904177	6843	VAMP1	NM_016830	NM_016830		HSG00277808
10025933136			C21457	non-public		HSG00289972
10025911837	10439	OLFM1	NM_058199	NM_058199		HSG00263232
10031920548			U02019	U02019		HSG00312309
10025934079			AF339810	AF339810		HSG00284933
10025902775	10638		NM_006542	NM_006542		HSG00207323
10023808555	5774	PTPN3	NM_002829.2	non-public		HSG00261055
10025935425			AA971012	non-public		HSG00301208
10023824107	1604	CD55	NM_000574	NM_000574		HSG00200228
10025902969	2135	EXTL2	NM_001439	NM_001439		HSG00208311
10023804886	1756	DMD	NM_004010	NM_004010		HSG00253708
10025904641	170589	GPHA2	NM_130769	NM_130769		HSG00272163
10025908530	22890	ZBTB1	NM_014950	NM_014950		HSG00287094
10025935581			BU740713	non-public		HSG00423179
10025904907	80854	SETD7	NM_030648	NM_030648		HSG00228606
10025926528			BF737140	non-public		HSG00281523
10023816498	6320	CLEC11A	NM_002975	NM_002975		HSG00306643
10023828135	2775	GNAO1	NM_020988	NM_020988		HSG00295626
10025902400	51808	RNUXA	NM_032177	NM_032177		HSG00237965
10023811120	659	BMPR2	NM_033346	non-public		HSG00214257
10025929570			XM_210111	XM_210111		HSG00363695
10025907698	93643	TJAP1	NM_080604	NM_080604		HSG00244513
10025917780			AK027226	non-public		HSG00297431
10025928428			XM_210340	XM_210340		HSG00300004
10031919976				non-public	ENSEMBLE: ENST00000355297	HSG00348321
10025916969				non-public	RosettaGeneID: HSG00389167	HSG00389167
10023812014	10992	SF3B2	NM_006842	NM_006842		HSG00272008
10025912800	79092	CARD14	NM_024110	NM_024110		HSG00301976
10025932486			AA491948	non-public		HSG00267019
10025907890	57172	CAMK1G	NM_020439	NM_020439		HSG00209924
10025927786			AK024534	AK024534		HSG00298900
10025906285	84166		NM_032206	NM_032206		HSG00294373
10025910039	2918	GRM8	NM_000845	NM_000845		HSG00249046
10025909199	146325		NM_145270	NM_145270		HSG00295609
10025906212	11022	TDRKH	NM_006862	NM_006862		HSG00200164
10023824938	529	ATP6V1E1	NM_001696	NM_001696		HSG00314579
10025911988	11316	COPE	NM_007263	NM_007263		HSG00307092
10023808054	6925	TCF4	NM_003199	NM_003199		HSG00303911
10023806996			AK091335	non-public		HSG00425004
10025931083			AW161497	non-public		HSG00352907
10023844408	115811	IQCD	NM_138451	NM_138451		HSG00277566
10025909694	57617	VPS18	NM_080432	NM_080432		HSG00290246
10023823947	3631	INPP4A	NM_001566	NM_001566		HSG00212589
10023804954	12	SERPINA3	NM_001085	NM_001085		HSG00288741
10031920511	145873	MESP2		non-public	ENSEMBLE: ENST00000341735	HSG00290468
10023825411			AA196316	non-public		HSG00397168
10023827888			AA412323	non-public		HSG00400500
10025932583			T07536	non-public		HSG00267755
10025902146	129787	TMEM18	NM_152834	NM_152834		HSG00215042
10023804717	51569	UFM1	NM_016617	NM_016617		HSG00284745
10023805391	4692	NDN	NM_002487	NM_002487		HSG00291294
10023810214			CR618817	non-public		HSG00407060
10023812704			AI423881	non-public		HSG00279550
10025910153	9768	KIAA0101	NM_014736	NM_014736		HSG00291610
10025912605	51427	ZNF588	NM_016220	NM_016220		HSG00248115
10023827978	23076	KIAA0179	D80001	D80001		HSG00316018
10023840013			U84506	U84506		HSG00314953
10025929346			AL050168	AL050168		HSG00386594
10023826001	1447	CSN2	NM_001891	NM_001891		HSG00227249
10025910061	30014	SPANXA1	NM_013453	NM_013453		HSG00255299
10025910050	9830	TRIM14	NM_033219	NM_033219		HSG00262645
10023809756			AA166931	non-public		HSG00200791
10031920102	113457			non-public	ENSEMBLE: ENST00000321253	HSG00214917
10023845202	400745	SH2D5		non-public	ENSEMBLE: ENST00000270949	HSG00357033
10025914153	342892		XM_292740	non-public		HSG00308270
10025928354			BC035392	BC035392		HSG00233691
10025910119	4756	NEO1	NM_002499	NM_002499		HSG00289853
10025932716			AL359337	AL359337		HSG00275825
10025922046				non-public	RosettaGeneID: HSG00369723	HSG00369723
10025934056			AF086548	AF086548		HSG00255356
10025934903				non-public	RosettaGeneID: HSG00390973	HSG00390973
10023821056	65265	C8orf33	NM_023080	non-public		HSG00257732
10031920360	256394	SERPINA11		non-public	ENSEMBLE: ENST00000334708	HSG00287303
10023811210	4700	NDUFA6	NM_002490	NM_002490		HSG00314667
10023823336	1942	EFNA1	NM_004428	NM_004428		HSG00205007
10025924847			BM852805	non-public		HSG00247076
10025933778	399980	C11orf39	NM_207432	non-public		HSG00271043
10025916921	400617		AK093963	AK093963		HSG00298373
10025912983	10907	TXNL4A	NM_006701	NM_006701		HSG00304155
10025924147			AA366413	non-public		HSG00220506
10025925656	4194	MDM4	NM_002393	non-public		HSG00202348
10025921578			BC021677	BC021677		HSG00232746
10025907147	55628	ZNF407	NM_017757	NM_017757		HSG00303789
10025903762	160857	RP11-5G9.1	NM_144974	NM_144974		HSG00284649
10023840511			AK022004	AK022004		HSG00259559
10025906533	81875	ISG20L2	NM_030980	NM_030980		HSG00202922
10025913210	3267	HRB	NM_004504	NM_004504		HSG00211296
10025906687	4061	LY6E	NM_002346	NM_002346		HSG00258798
10025911110	51341	ZBTB7A	NM_015898	NM_015898		HSG00305698
10025933077	283688		XM_373639	non-public		HSG00291544
10023823219	4716	NDUFB10	NM_004548	NM_004548		HSG00296961
10023819419	1848	DUSP6	NM_001946	NM_001946		HSG00278312
10025904415	3182	HNRPAB	NM_031266	NM_031266		HSG00236850
10023817394	55004	C11orf59	NM_017907	NM_017907		HSG00274670
10025924962	440175		XM_498577	non-public		HSG00287156
10025915282			AK025118	AK025118		HSG00233162
10033668486	8714	ABCC3	NM_020038	NM_020038		HSG00301631
10025918090			BI793149	non-public		HSG00264502
10025905484	6095	RORA	NM_134261	NM_134261		HSG00291342
10025912893	285877		NM_182595	NM_182595		HSG00251413
10023828206	2590	GALNT2	NM_004481	NM_004481		HSG00205110
10023808997	2861	GPR37	NM_005302	NM_005302		HSG00249156
10025903290	148014	TTC9B	NM_152479	NM_152479		HSG00307771
10025909726	113540	CMTM1	NM_181288	NM_181288		HSG00296938
10025930235			BG192657	non-public		HSG00282535
10025913184	84255	SLC37A3	NM_032295	NM_032295		HSG00249045
10025910025	25853	WDR40A	NM_015397	NM_015397		HSG00261318
10025918814			AA398632	non-public		HSG00422523
10025912603	4248	MGAT3	NM_002409	NM_002409		HSG00314325
10023827808	5101	PCDH9	NM_020403	NM_020403		HSG00284538
10025920160			BG214495	non-public		HSG00227124
10025913008	79036		NM_024069	NM_024069		HSG00306635
10023842688				non-public	RosettaGeneID: HSG00229527	HSG00229527
10025935533			AA248065	non-public		HSG00350842
10025935627	390244		XM_497315	non-public		HSG00351266
10023818716			G43515	non-public		HSG00283533
10025906438	64649	SPANXB1	NM_032461	NM_032461		HSG00255293
10025909955	57456	KIAA1143	NM_020696	NM_020696		HSG00220033
10023822395			AA586953	non-public		HSG00415059
10025920516			AL832716	AL832716		HSG00275982
10025914622			AA417166	non-public		HSG00226016
10025928366			AK055150	AK055150		HSG00200337
10025926944	6638	SNRPN	NM_022807	non-public		HSG00291352
10025910920	54496	PRMT7	NM_019023	NM_019023		HSG00295496
10023816716			AW008874	non-public		HSG00396933
10023805631	125476	C18orf37	NM_194281	non-public		HSG00304199
10025911147	79830	ZMYM1	NM_024772	NM_024772		HSG00205182
10025915354	8663	EIF3S8	NM_003752	non-public		HSG00295032
10025925751			AW104440	non-public		HSG00349625
10025921044			BC021687	BC021687		HSG00239147
10023823112	4795	NFKBIL1	NM_005007	NM_005007		HSG00243056
10023826824	54894	RNF43	NM_017763	NM_017763		HSG00302003
10023825632	5463	POU6F1	NM_002702	NM_002702		HSG00276821
10023837225	341152	OR2AT4		non-public	ENSEMBLE: ENST00000299535	HSG00275458
10025905827	7126	TNFAIP1	NM_021137	NM_021137		HSG00302031
10023844999			AL117542	AL117542		HSG00275522
10025916734	284187		AL162045	AL162045		HSG00298160
10025924839			AW021696	non-public		HSG00227976
10025914561			AA343787	non-public		HSG00425615
10025932450	442606		XM_374637	non-public		HSG00246346
10025912456	79854		NM_024796	NM_024796		HSG00205854
10023809868			AK054578	non-public		HSG00265429
10025916484				non-public	RosettaGeneID: HSG00363903	HSG00363903
10025933656			AI022236	non-public		HSG00233389
10025909934	89832	CHRFAM7A	NM_148911	NM_148911		HSG00290692
10025910330	6862	T	NM_003181	NM_003181		HSG00244596
10025912126	8735	MYH13	NM_003802	NM_003802		HSG00301566
10023836421	22863	KIAA0831	AL133091	AL133091		HSG00287111
10025903791	5426	POLE	NM_006231	NM_006231		HSG00276812
10025911436	54102	CLIC6	NM_053277	NM_053277		HSG00315733
10025935293			T59887	non-public		HSG00375174
10025916158	403273	OR5H14	XM_172287	XM_172287		HSG00226383
10025930852			BE934810	non-public		HSG00288395
10025910396	147906		NM_145056	NM_145056		HSG00307082
10025915478			AA486819	non-public		HSG00316154
10025915512			AK093043	AK093043		HSG00291811
10025909052	6240	RRM1	NM_001033	NM_001033		HSG00271659
10023816430	4087	SMAD2	NM_005901	non-public		HSG00303948
10023826928			BF514231	non-public		HSG00222342
10025933168	79269	WDR32	NM_024345	non-public		HSG00261527
10023835734	148327	CREB3L4	NM_130898	NM_130898		HSG00204398
10025923607			AA159743	non-public		HSG00209333
10025930846			XM_065715	XM_065715		HSG00211676
10025908900	51111	SUV420H1	NM_016028	NM_016028		HSG00271398
10023839220	1039	CDR2	M63256	M63256		HSG00351491
10023835180	129531		NM_138798	NM_138798		HSG00213565
10025903243	8641	PCDHGB4	NM_032098	NM_032098		HSG00232449
10025913032	94115	CGB8	NM_033183	NM_033183		HSG00307476
10025917941	163933	FAM43B	NM_207334	non-public		HSG00209775
10023814007			AA303316	non-public		HSG00296508
10023836981	440097			non-public	ENSEMBLE: ENST00000299144	HSG00354749
10025928840			AF147315	AF147315		HSG00309345
10025910165	10138	YAF2	NM_005748	NM_005748		HSG00278225
10023820524	6135	RPL11	NM_000975	NM_000975		HSG00208055
10025930748			BC036897	BC036897		HSG00233419
10025910861	3589	IL11	NM_000641	NM_000641		HSG00307184
10025914296	200205	C1orf69	NM_001010867	non-public		HSG00201651
10025931119			AI190604	non-public		HSG00420333
10025919324			AK057198	AK057198		HSG00312081
10025905932	154807	VKORC1L1	NM_173517	NM_173517		HSG00251868
10025922056	284120		XM_211339	XM_211339		HSG00300700
10025928622			BC035740	BC035740		HSG00218571
10025922265	389958		XM_166710	non-public		HSG00268831
10023827145	3598	IL13RA2	NM_000640	NM_000640		HSG00254904
10023827204	286	ANK1	NM_020480	NM_020480		HSG00258904
10025914673			XM_210757	XM_210757		HSG00361242
10023813715			AF143326	non-public		HSG00224462
10023827445	387103	C6orf173	NM_001012507	non-public		HSG00356827
10023835586	116969	ART5	NM_053017	NM_053017		HSG00273767
10025930267	391800		XM_498006	non-public		HSG00233495
10025905477	7095	TLOC1	NM_153039	NM_153039		HSG00219671
10025935489	389158	PLSCR5	XM_371670	non-public		HSG00356993
10023805600	1045	CDX2	NM_001265	NM_001265		HSG00284876
10025914402			AA493376	non-public		HSG00214080
10023806439	7869	SEMA3B	NM_004636	NM_004636		HSG00219721
10023819147			AA913143	non-public		HSG00415152
10025924266			XM_060320	XM_060320		HSG00201992
10025929905			AF147415	AF147415		HSG00218917
10025910806	445815		NM_147150	NM_147150		HSG00260664
10025906090	157310		NM_144962	NM_144962		HSG00258862
10025911331	253430	IPMK	NM_152230	NM_152230		HSG00268642
10025918901			H29641	non-public		HSG00228445
10025909978	160492		NM_152590	NM_152590		HSG00277101
10023834351	1495	CTNNA1	AK022326	AK022326		HSG00237607
10023813976	784	CACNB3	NM_000725	NM_000725		HSG00281968
10025912686	57167	SALL4	NM_020436	NM_020436		HSG00311547
10025909538	338339	CLEC4D	NM_080387	NM_080387		HSG00276735
10023809509			DQ168992	non-public		HSG00400360
10025934670			AL080217	AL080217		HSG00219056
10025907941	9374	PPT2	NM_138717	NM_138717		HSG00242531
10025902991	639	PRDM1	NM_001198	NM_001198		HSG00243045
10025903573	134864	TAAR1	NM_138327	NM_138327		HSG00243870
10023829472	3493	IGHA1		non-public	ENSEMBLE: ENST00000298608	HSG00318410
10025913069	51135	IRAK4	NM_016123	NM_016123		HSG00278318
10023837172	441338			non-public	ENSEMBLE: ENST00000259102	HSG00260245
10025931425	388129		XM_373631	non-public		HSG00290548
10025911182	353164		NM_181429	NM_181429		HSG00317506
10025910176	221756		NM_182544	NM_182544		HSG00239185
10023822816	23542	MAPK8IP2	NM_012324	NM_012324		HSG00314234
10025919438				non-public	RosettaGeneID: HSG00386995	HSG00386995
10025909058	55771	PRR11	NM_018304	NM_018304		HSG00297779
10025924456	387756		XM_210959	XM_210959		HSG00270785
10025934618			BM974545	non-public		HSG00273965
10025908223	673	BRAF	NM_004333	NM_004333		HSG00249934
10025928586			AK090684	non-public		HSG00250359
10026392983	7494	XBP1	NM_005080	NM_005080		HSG00314496
10025908617	143884	CWF19L2	NM_152434	NM_152434		HSG00271765
10025912170	10953	TOMM34	NM_006809	NM_006809		HSG00311899
10025926037			XM_211003	XM_211003		HSG00279248
10033668858	2638	GC	NM_000583	NM_000583		HSG00229546
10025906221	148304	C1orf74	NM_152485	NM_152485		HSG00205012
10025935226			XM_212457	XM_212457		HSG00218524
10023840810	374569			non-public	ENSEMBLE: ENST00000299234	HSG00287314
10025906830	338382	RAB7B	NM_177403	NM_177403		HSG00318013
10025931102			BC016673	BC016673		HSG00285155
10025912131	11128	POLR3A	NM_007055	NM_007055		HSG00268781
10025932347			XM_209737	XM_209737		HSG00239391
10025929285			XM_105905	XM_105905		HSG00364435
10023806664	9542	NRG2	NM_013982	NM_013982		HSG00237851
10023826840	765	CA6	NM_001215	NM_001215		HSG00205853
10023813472			BC046442	non-public		HSG00269900
10023819358	29950	SERTAD1	NM_013376	NM_013376		HSG00307043
10025906421	55559		NM_080700	NM_080700		HSG00396041
10023815050	3112	HLA-DOB	NM_002120	NM_002120		HSG00243385
10023814629	6726	SRP9	NM_003133	NM_003133		HSG00205674
10025914639			XM_210420	XM_210420		HSG00361716
10025904084	84335	AKT1S1	NM_032375	NM_032375		HSG00307421
10025911940	6674	SPAG1	NM_172218	NM_172218		HSG00259366
10025910907	259197	NCR3	NM_147130	NM_147130		HSG00243858
10023841722	79746	ECHDC3	NM_024693	NM_024693		HSG00268692
10025910638	145264	SERPINA12	NM_173850	NM_173850		HSG00288128
10023838213			AK024689	AK024689		HSG00228739
10025929209			AI912075	non-public		HSG00238840
10023809153	2859	GPR35	NM_005301	NM_005301		HSG00215680
10025924064			AA248600	non-public		HSG00419623
10025925691			AF131788	AF131788		HSG00259753
10025911037	9343	EFTUD2	NM_004247	NM_004247		HSG00302405
10025931235			XM_063008	XM_063008		HSG00364835
10025924353	619343	C8orf68	BC038783	BC038783		HSG00256046
10023824463	10960	LMAN2	NM_006816	NM_006816		HSG00237236
10023813955	253959	GARNL1	AB020691	AB020691		HSG00353917
10031919930			AW855640	AW855640		HSG00214516
10023819436	54877	ZCCHC2	NM_017742	NM_017742		HSG00303721
10025921272	388481		XM_373780	non-public		HSG00304142
10031920740	6458	SH3GLP1	X99658	X99658		HSG00359079
10025915894			BC009366	BC009366		HSG00265999
10025921517			BX109005	non-public		HSG00350586
10025908965	5788	PTPRC	NM_080921	NM_080921		HSG00207284
